PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Patrick Mahomes,KC,QB,1,HOU,303.83,2.63,0.74,2.94,13.28,0.14,0,0,0,211,3,0,0,0,0,0,0,0,24.1,24.1,24.1,20.44,20.44,20.44,-92.83,0.37,-0.74,-2.94,-13.28,-0.14,0,0,0,-3.66,-3.66,-3.66
Lamar Jackson,BAL,QB,1,CLE,220.3,1.77,0.65,10.75,54.39,0.46,0,0,0,275,3,0,7,45,0,0,0,0,23.44,23.44,23.44,27.5,27.5,27.5,54.7,1.23,-0.65,-3.75,-9.39,-0.46,0,0,0,4.06,4.06,4.06
Dak Prescott,DAL,QB,1,LA,277.22,1.9,0.65,3.54,15.3,0.23,0,0,0,266,1,0,3,30,0,0,0,0,20.95,20.95,20.95,17.64,17.64,17.64,-11.22,-0.9,-0.65,-0.54,14.7,-0.23,0,0,0,-3.31,-3.31,-3.31
Russell Wilson,SEA,QB,1,ATL,255.36,1.93,0.54,4.5,23.61,0.14,0,0,0,322,4,0,2,30,0,0,0,0,20.6,20.6,20.6,31.88,31.88,31.88,66.64,2.07,-0.54,-2.5,6.39,-0.14,0,0,0,11.28,11.28,11.28
Deshaun Watson,HOU,QB,1,KC,254.4,1.62,0.81,5.62,26.35,0.26,0,0,0,253,1,0,5,28,1,0,0,0,20.04,20.04,20.04,22.92,22.92,22.92,-1.4,-0.62,-0.81,-0.62,1.65,0.74,0,0,0,2.88,2.88,2.88
Matt Ryan,ATL,QB,1,SEA,306.76,1.7,0.72,2.08,8.27,0.06,0,0,0,450,2,0,1,-1,0,0,0,0,19.54,19.54,19.54,25.9,25.9,25.9,143.24,0.3,-0.72,-1.08,-9.27,-0.06,0,0,0,6.36,6.36,6.36
Kyler Murray,ARI,QB,1,SF,254.2,1.54,0.71,4.66,23.41,0.17,0,0,0,230,1,0,11,100,1,0,0,0,18.98,18.98,18.98,29.2,29.2,29.2,-24.2,-0.54,-0.71,6.34,76.59,0.83,0,0,0,10.22,10.22,10.22
Josh Allen,BUF,QB,1,NYJ,208.19,1.3,0.75,8.99,39.76,0.48,0,0,0,312,2,0,12,59,1,0,0,0,19.63,19.63,19.63,32.38,32.38,32.38,103.81,0.7,-0.75,3.01,19.24,0.52,0,0,0,12.75,12.75,12.75
Ben Roethlisberger,PIT,QB,1,NYG,277.85,1.96,0.84,0.88,2.92,0.04,0,0,0,229,3,0,2,11,0,0,0,0,18.65,18.65,18.65,22.26,22.26,22.26,-48.85,1.04,-0.84,1.12,8.08,-0.04,0,0,0,3.61,3.61,3.61
Cam Newton,NE,QB,1,MIA,231.17,1.53,0.86,5.53,24.45,0.32,0,0,0,155,0,0,14,76,2,0,0,0,18.87,18.87,18.87,25.8,25.8,25.8,-76.17,-1.53,-0.86,8.47,51.55,1.68,0,0,0,6.93,6.93,6.93
