PlayerName,Team,Position,Week,Opponent,ProjPassYd,ProjPassTD,ProjPassINT,ProjRushAtt,ProjRushYd,ProjRushTD,ProjRecCount,ProjRecYd,ProjRecTD,ActualPassYd,ActualPassTD,ActualPassINT,ActualRushAtt,ActualRushYd,ActualRushTD,ActualRecCount,ActualRecYd,ActualRecTD,FanProjStd,FanProjPPR1,FanProjPPRHalf,FanActualStd,FanActualPPR1,FanActualPPRHalf,DiffPassYds,DiffPassTD,DiffPassINT,DiffRushAtt,DiffRushYd,DiffRushTD,DiffRecCount,DiffRecYd,DiffRecTD,DiffStandard,DiffPPR1,DiffPPRHalf
Deshaun Watson,HOU,QB,12,DET,280.15,2.21,0.78,6.57,29.93,0.37,0,0,0,318,4,0,4,28,0,0,0,0,24.48,24.48,24.48,31.52,31.52,31.52,37.85,1.79,-0.78,-2.57,-1.93,-0.37,0,0,0,7.04,7.04,7.04
Matthew Stafford,DET,QB,12,HOU,290.95,2,0.64,1.91,7.68,0.1,0,0,0,295,1,0,1,3,0,0,0,0,20.37,20.37,20.37,16.1,16.1,16.1,4.05,-1,-0.64,-0.91,-4.68,-0.1,0,0,0,-4.27,-4.27,-4.27
Andy Dalton,DAL,QB,12,WSH,240.06,1.74,0.85,2.43,9.66,0.12,0,0,0,215,1,0,3,17,0,0,0,0,17.4,17.4,17.4,14.3,14.3,14.3,-25.06,-0.74,-0.85,0.57,7.34,-0.12,0,0,0,-3.1,-3.1,-3.1
Alex Smith,WSH,QB,12,DAL,236.97,1.44,0.52,1.95,8.67,0.06,0,0,0,149,1,0,1,3,0,0,0,0,15.95,15.95,15.95,10.26,10.26,10.26,-87.97,-0.44,-0.52,-0.95,-5.67,-0.06,0,0,0,-5.69,-5.69,-5.69
Ezekiel Elliott,DAL,RB,12,WSH,0,0,0,17.62,78.72,0.55,2.55,17.76,0.13,0,0,0,10,32,0,1,7,0,13.73,16.28,15,3.9,4.9,4.4,0,0,0,-7.62,-46.72,-0.55,-1.55,-10.76,-0.13,-9.83,-11.38,-10.6
Antonio Gibson,WSH,RB,12,DAL,0,0,0,15.77,69.87,0.59,2.09,15.15,0.09,0,0,0,20,115,3,5,21,0,12.58,14.67,13.62,31.6,36.6,34.1,0,0,0,4.23,45.13,2.41,2.91,5.85,-0.09,19.02,21.93,20.48
Duke Johnson,HOU,RB,12,DET,0,0,0,13.61,56.29,0.39,3,25.95,0.17,0,0,0,9,37,0,3,43,1,11.58,14.58,13.08,14,17,15.5,0,0,0,-4.61,-19.29,-0.39,0,17.05,0.83,2.42,2.42,2.42
Kerryon Johnson,DET,RB,12,HOU,0,0,0,10,43.64,0.29,2.55,21.84,0.16,0,0,0,11,46,0,4,52,0,9.25,11.8,10.52,9.8,13.8,11.8,0,0,0,1,2.36,-0.29,1.45,30.16,-0.16,0.55,2,1.28
Adrian Peterson,DET,RB,12,HOU,0,0,0,11.13,45.04,0.31,1.12,9.55,0.05,0,0,0,15,55,2,0,0,0,7.62,8.74,8.18,17.5,17.5,17.5,0,0,0,3.87,9.96,1.69,-1.12,-9.55,-0.05,9.88,8.76,9.32
JD McKissic,WSH,RB,12,DAL,0,0,0,4.8,20.25,0.14,4.45,30.89,0.18,0,0,0,1,6,0,2,21,0,7.03,11.48,9.26,2.7,4.7,3.7,0,0,0,-3.8,-14.25,-0.14,-2.45,-9.89,-0.18,-4.33,-6.78,-5.56
Tony Pollard,DAL,RB,12,WSH,0,0,0,5.76,25.03,0.18,1.04,7.13,0.05,0,0,0,4,12,0,2,10,0,4.6,5.64,5.12,2.2,4.2,3.2,0,0,0,-1.76,-13.03,-0.18,0.96,2.87,-0.05,-2.4,-1.44,-1.92
CJ Prosise,HOU,RB,12,DET,0,0,0,3.89,16.18,0.12,1.23,10.69,0.09,0,0,0,5,12,0,1,2,1,3.95,5.18,4.57,7.4,8.4,7.9,0,0,0,1.11,-4.18,-0.12,-0.23,-8.69,0.91,3.45,3.22,3.34
Peyton Barber,WSH,RB,12,DAL,0,0,0,2.56,9.64,0.08,0.3,1.97,0.01,0,0,0,11,57,0,0,0,0,1.7,2,1.85,5.7,5.7,5.7,0,0,0,8.44,47.36,-0.08,-0.3,-1.97,-0.01,4,3.7,3.85
Terry McLaurin,WSH,WR,12,DAL,0,0,0,0.12,0.71,0.01,5.95,83.1,0.46,0,0,0,0,0,0,7,92,0,11.2,17.15,14.18,9.2,16.2,12.7,0,0,0,-0.12,-0.71,-0.01,1.05,8.9,-0.46,-2,-0.95,-1.47
Marvin Jones,DET,WR,12,HOU,0,0,0,0,0,0,5.69,73.79,0.6,0,0,0,0,0,0,6,48,0,10.98,16.67,13.82,4.8,10.8,7.8,0,0,0,0,0,0,0.31,-25.79,-0.6,-6.18,-5.87,-6.03
Will Fuller,HOU,WR,12,DET,0,0,0,0.13,0.67,0.01,5.56,73.84,0.55,0,0,0,0,0,0,6,171,2,10.81,16.37,13.59,29.1,35.1,32.1,0,0,0,-0.13,-0.67,-0.01,0.44,97.16,1.45,18.29,18.73,18.51
Brandin Cooks,HOU,WR,12,DET,0,0,0,0.25,1.34,0.01,5.43,70.17,0.5,0,0,0,0,0,0,5,85,0,10.21,15.64,12.92,8.5,13.5,11,0,0,0,-0.25,-1.34,-0.01,-0.43,14.83,-0.5,-1.71,-2.14,-1.93
Marvin Hall,DET,WR,12,HOU,0,0,0,0.01,0.05,0,4,62.86,0.35,0,0,0,0,0,0,2,16,0,8.39,12.39,10.39,1.6,3.6,2.6,0,0,0,-0.01,-0.05,0,-2,-46.86,-0.35,-6.79,-8.79,-7.79
Amari Cooper,DAL,WR,12,WSH,0,0,0,0.3,1.54,0.02,4.66,52.49,0.37,0,0,0,0,0,0,6,112,1,7.74,12.4,10.07,17.2,23.2,20.2,0,0,0,-0.3,-1.54,-0.02,1.34,59.51,0.63,9.46,10.8,10.13
CeeDee Lamb,DAL,WR,12,WSH,0,0,0,0.51,2.69,0.03,4.23,50.97,0.36,0,0,0,0,0,0,5,21,0,7.71,11.94,9.82,2.1,7.1,4.6,0,0,0,-0.51,-2.69,-0.03,0.77,-29.97,-0.36,-5.61,-4.84,-5.22
Michael Gallup,DAL,WR,12,WSH,0,0,0,0,0,0,3.28,46.54,0.3,0,0,0,0,0,0,6,41,0,6.45,9.73,8.09,4.1,10.1,7.1,0,0,0,0,0,0,2.72,-5.54,-0.3,-2.35,0.37,-0.99
Quintez Cephus,DET,WR,12,HOU,0,0,0,0,0,0,3.07,38.04,0.21,0,0,0,0,0,0,2,27,0,5.06,8.13,6.6,2.7,4.7,3.7,0,0,0,0,0,0,-1.07,-11.04,-0.21,-2.36,-3.43,-2.89
Keke Coutee,HOU,WR,12,DET,0,0,0,0.04,0.2,0,3.06,34.59,0.25,0,0,0,0,0,0,2,17,0,4.98,8.04,6.51,1.7,3.7,2.7,0,0,0,-0.04,-0.2,0,-1.06,-17.59,-0.25,-3.28,-4.34,-3.81
Steven Sims,WSH,WR,12,DAL,0,0,0,0,0,0,2.84,32.85,0.21,0,0,0,0,0,0,1,8,0,4.54,7.38,5.96,0.8,1.8,1.3,0,0,0,0,0,0,-1.84,-24.85,-0.21,-3.74,-5.58,-4.66
Mohamed Sanu,DET,WR,12,HOU,0,0,0,0.01,0.05,0,1,11.2,0.07,0,0,0,0,0,0,4,32,1,1.54,2.54,2.04,9.2,13.2,11.2,0,0,0,-0.01,-0.05,0,3,20.8,0.93,7.66,10.66,9.16
Dontrelle Inman,WSH,WR,12,DAL,0,0,0,0,0,0,0.2,2.5,0.02,0,0,0,0,0,0,1,15,0,0.37,0.57,0.47,1.5,2.5,2,0,0,0,0,0,0,0.8,12.5,-0.02,1.13,1.93,1.53
